Save,Guardar
"Save Rows","Guardar Mapeo"
"The list has been successfully created","La lista fue creada con éxito"
"Rows have been saved successfully","Los datos fueron guardados"
"Customers has been synchronized.","Clientes sincronizados con éxito"
"Connection sucefully.","Conexión exitosa"
"Fields mapping","Mapeo de campos"
"Doppler Lists","Listas de Doppler"
Configuration,Configuración
Username,"Nombre de usuario"
"Test connection","Probar conexión"
"Doppler list for customers","Lista de Doppler para clientes"
"Doppler list for subscribers","Lista de Doppler para suscriptores"
"Synchronize customers","Sincronizar clientes"
"Enabled Synchronization Cron","Activar cron de sincronización"
"Synchronization Cron Frequency","Frecuencia de sincronización automática"
"Doppler extension is disable.","La extensión de Doppler está desactivada."
"The lists has been successfully deleted","Las listas fueron eliminadas"
"Are you sure to delete selected lists?","Está seguro que desea eliminar las listas seleccionadas?"
"Error: Verify username and key.","Error: Verificar usuario y key"
"You cannot delete lists currently used for synchronization","No puede eliminar listas actualmente utilizadas para la sincronización"
"The list can't be deleted. Reason: List Associated to a Segment","The list can't be deleted. Reason: List Associated to a Segment"
"The list can't be deleted. Reason: List Associated to a Form","The list can't be deleted. Reason: List Associated to a Form"
"In this section you can create and delete Subscribers Lists.","Desde esta sección podrás crear y eliminar Listas de Suscriptores."
"Create List","Crear Lista"
"New Doppler List","Nueva Lista de Doppler"
"The List has been created correctly.","La Lista se ha creado correctamente."
"Ouch! You've already used this name for another List.","¡Ouch! Ya has utilizado este nombre para otra Lista."
"Ouch! You've reached the maximum number of Lists created.","¡Ouch! Has alcanzado el número máximo de Listas creadas."
"Ouch! You've made several actions in a short period of time. Please wait a few minutes before making another one.","¡Ouch! Has realizado varias acciones en un periodo corto de tiempo. Por favor, espera unos minutos antes de realizar otra."
"Are you sure you want to delete the Lists selected?","¿Estás seguro que quieres eliminar las Listas seleccionadas?"
"Send your Client's information from Magento to Doppler. To do this, select the equivalent Fields in both platforms. Remember, with Subscribers you can only synchronize Emails.","Envía la información de tus Clientes de Magento a Doppler. Para hacerlo, selecciona los Campos equivalentes en ambas plataformas. Ten en cuenta que en el caso de los Suscriptores sólo podrás sincronizar el Campo Email."
"State/Province ID","Provincia ID"
"Connect your Magento store with Doppler","Integra tu tienda de Magento con Doppler"
"When you synchronize, you can send automatically your Client's information to your Doppler account. You will be able to create Lists, import your products into customizable Email Templates and design Abandoned Cart and Visited Product Automations. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler/'>HELP</a>.","Mediante esta sincronización,podrás enviar automáticamente la información de tus Clientes a tu cuenta de Doppler. Así podrás crear Listas, importar tus productos en Plantillas de Email personalizables y generar Automations de Carrito Abandonado y Producto Visitado. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler/'>HELP</a>."
"By enabling this connection, you agree to Doppler's <a href='https://www.fromdoppler.com/legal/terminos-condiciones/?utm_source=integracion&utm_medium=integracion&utm_campaign=magento'>Terms and Conditions</a>.","Habilitando esta integración, estás de acuerdo con los <a href='https://www.fromdoppler.com/legal/terminos-condiciones/?utm_source=integracion&utm_medium=integracion&utm_campaign=magento'>Términos y Condiciones de Doppler</a>."
"This is your Doppler User Email","Este es tu Email de Usuario de Doppler."
"Where is your API Key? Just press <a href='https://help.fromdoppler.com/en/where-do-i-find-my-api-key/'>HELP</a>","¿Dónde encontrar tu API Key? Sólo presiona <a href='https://help.fromdoppler.com/en/where-do-i-find-my-api-key/'>HELP</a>"
"To connect your Magento store with Doppler, you must select the information you want to link between both platforms.","Para conectar tu tienda Magento con Doppler, debes seleccionar la información que quieres vincular entre ambas plataformas."
"Here you can add the scripts, either to embed a Pop up that you have created in Doppler on your Website or to track the behavior of Users on your Website. The scripts you enter will work whether you have an active integration.","Aquí puedes ingresar scripts,para embeber un Pop up hayas creado desde en tu Sitio Web como realizar el seguimiento del de los en tu Web. Los scripts agregues funcionarán de que habilitada la integración."
